Model,R^2,R^2 StdErr,MSE,MSE StdErr,RMSE,RMSE StdErr,MAE,MAE StdErr,BHS Grade,BHS % within 5mmHg,BHS % within 5mmHg StdErr,BHS % within 10mmHg,BHS % within 10mmHg StdErr,BHS % within 15mmHg,BHS % within 15mmHg StdErr,AAMI Pass/Fail,AAMI Mean Error (mmHg),AAMI Mean Error StdErr,AAMI Std Dev (mmHg),AAMI Std Dev StdErr,Avg Inference Time (ms),Inference Time StdErr,Inference Time Std (ms),Model Size (bytes),Model Size StdErr
Linear Regression DBP,0.22856338024139405,0.011858611361385938,42.21181106567383,0.3766274309681678,6.49673490524292,0.029141579117903563,5.022640419006348,0.02415646510381735,B,59.19110212335693,0.7661078579608704,88.53387259858442,0.11652060902639365,97.0475227502528,0.08768244039910708,Pass,-0.005892454646527767,0.08848719585999697,6.496973514556885,0.030483586931222054,0.1182286262512207,0.009963032639028353,0.7044927940239852,712.0,0.0
Linear Regression SBP,0.24847056865692138,0.015224565181382377,273.87091369628905,5.137160070579034,16.54534778594971,0.1564408738665648,13.365457534790039,0.1263659773909425,D,23.235591506572295,0.5276470052918238,44.26693629929221,0.21667292596123527,61.49646107178969,0.5786588785918519,Fail,0.0011976181995123625,0.29768570850883597,16.53998374938965,0.16342367702809385,0.08062849044799805,0.008803540967350774,0.6225043516467311,712.0,0.0
Random Forest DBP,0.3073598170796772,0.015165793830007704,37.88884416095611,0.5390627864221398,6.154620025836067,0.04358095578060186,4.5969266043374715,0.020414936360947267,A,62.99292214357937,0.30401003798529697,90.23255813953489,0.1632892152734991,97.33063700707785,0.08861032275108766,Pass,-0.15179573143167374,0.06905393267036128,6.15388251498513,0.04470248200116409,4.683531427383423,0.04768334859705413,3.3717219142659025,35855799.6,5529.68999926759
Random Forest SBP,0.3987232121084443,0.007671136405830422,219.1911329211507,3.397925362149789,14.802836379557158,0.1159034436157159,11.395346794274989,0.08472599260251032,D,30.394337714863497,0.5207819972600967,54.92416582406471,0.3622020332010194,71.36501516683518,0.25643466101755125,Fail,-0.12420089300481563,0.18834597362821587,14.803795673995916,0.11629953383066549,5.1672581195831295,0.05191271126973658,3.6707830168610047,35657079.6,8254.061912052757
XGBoost DBP,0.22782750129699708,0.016496497389279913,42.245443725585936,0.642047027872446,6.498716068267822,0.04926098664287343,4.800016021728515,0.03594031787205926,A,62.83114256825077,0.2737136390809088,87.90697674418605,0.31013612962880954,96.66329625884732,0.17159315215851284,Pass,0.00668884813785553,0.05385548434188174,6.500880241394043,0.049385455144434806,1.0730617046356201,0.062398466301863804,4.412237865768817,411910.4,1945.0151588098229
XGBoost SBP,0.35761089324951173,0.009854025679207056,234.2230010986328,4.613533425213041,15.300569152832031,0.152042168592994,11.589484977722169,0.12150236870239846,D,32.133468149646106,0.5361046577837648,54.17593528816987,0.5451815667463584,70.17189079878665,0.6839852184140649,Fail,-0.03099231794476509,0.20544464707285334,15.301243782043457,0.1547707638099757,1.0478984832763671,0.054714457934209974,3.8688964234225973,421475.4,1939.023808002367
SVM DBP,0.014908950054887437,0.0058090264964207276,53.97856532123088,1.1387895421200205,7.344971734079768,0.07740225681481396,5.383625721033715,0.050884173483088345,B,59.312436804853384,0.3624277745960748,87.48230535894842,0.4303154241705276,94.01415571284124,0.1677366337984044,Pass,1.7228078588510634,0.11576041563869653,7.139553586244368,0.06608005094098036,0.6602863788604736,0.023051149274376813,1.629962396605521,1142444.6,1440.9541727619235
SVM SBP,0.020680590672698517,0.004085789195994995,357.05163402403394,4.447199540242359,18.893990143021433,0.11727787467627843,15.312012743212733,0.054265352728831005,D,20.46511627906977,0.24199434259497044,37.77553083923155,0.26613846513831474,53.832153690596556,0.3114519443183574,Fail,-1.9246759158942581,0.38045232755364955,18.786604041137515,0.09375690946406218,0.8757181644439698,0.022127258496678036,1.564633453206869,1149452.6,432.317809024796
CatBoost DBP,0.2984577079206606,0.01225110116281496,38.3863890609999,0.4463509458703349,6.19515214478866,0.03599712188594153,4.644787855242033,0.01217654735772704,A,63.74115267947421,0.5040219237103947,90.11122345803842,0.24334251092402515,97.14863498483315,0.1192952979069961,Pass,-0.015110336651270765,0.06360479711767454,6.19662491995309,0.03634392642198402,2.2729721546173094,0.0364694449422622,2.5787791824783044,1127186.8,30.492490878903286
CatBoost SBP,0.4350246644822834,0.010493486575794327,205.90807691025128,3.7296737645122464,14.3465194946023,0.13073278184714976,10.998576827816498,0.10820400746077342,D,32.052578361981794,0.37940673486943816,56.25884732052579,0.5724059959940715,72.63902932254803,0.36242777459607606,Fail,0.008504499121913209,0.16835696308314582,14.348703008557532,0.13362012629271516,2.0295398235321045,0.03794229558059924,2.68292544988261,1127380.4,29.450432933999455
MLP DBP,0.13220371007919313,0.01324413269895653,47.52982025146484,1.0273653848386162,6.892182731628418,0.07434573485365721,5.258558845520019,0.028347017694267063,B,57.93731041456016,0.7132534717309765,86.08695652173915,0.2630473211973185,96.19817997977755,0.3192329587166209,Pass,0.5111438632011414,0.41266501074122675,6.8141655921936035,0.07901425721920058,0.1665006160736084,0.011024872302423619,0.7795761966759487,116701.8,160.02909735419993
MLP SBP,0.19484667778015136,0.021496208750658084,293.2214294433594,5.812472255031705,17.119621658325194,0.16731572456231764,13.62065830230713,0.04246170097606349,D,22.770475227502526,0.570115217434699,43.47826086956521,0.314587445623945,61.354903943377145,0.4461788593090909,Fail,-0.799573540687561,0.3798351253779764,17.088825225830078,0.16010635022290925,0.1332674503326416,0.010803900187498357,0.7639511085842701,116724.4,239.33501206467892
MLP DBP Scaled XY,-0.3690122127532959,0.04933296263562859,74.77241973876953,1.5208536383314946,8.644832038879395,0.08865124978213396,6.244928646087646,0.0514768939943642,B,55.025278058645085,0.9273265374615405,79.31243680485338,0.4509197567536895,90.69767441860465,0.2845550511520783,Fail,-0.3631862699985504,0.06225032742340317,8.640549659729004,0.08667083551704353,0.20527191162109376,0.012827895922026124,0.9070692194819933,117024.4,115.3508040717532
MLP SBP Scaled XY,-0.1393561840057373,0.02349458029205038,415.09462280273436,6.842030062988662,20.370381164550782,0.16863492329674706,15.340567207336425,0.14628212078269717,D,24.934277047522748,0.7215758988679419,43.96359959555106,0.4797453218105954,59.11021233569262,0.409073660133154,Fail,-0.5752447843551636,0.618317174832456,20.324548721313477,0.19118812128640422,0.14972138404846191,0.011202701616560952,0.7921506280679748,117325.0,214.33245204588127
